ImageID;LabelName;Conf;XMin;XMax;YMin;YMax
0_23-11-2021_02-18-50_PM.jpg;4;0.941884;0.09115999999999999;0.25690599999999997;0.6652534999999999;0.8050845
0_23-11-2021_02-18-56_PM.jpg;4;0.94391;0.5249995;0.7916664999999999;0.7350000000000001;0.855
0_23-11-2021_02-19-19_PM.jpg;4;0.938715;0.8310815;0.9324325;0.6203004999999999;0.7293235
0_23-11-2021_02-20-47_PM.jpg;4;0.936201;0.1746325;0.3676475;0.6892655;0.8305085
0_23-11-2021_02-37-47_PM.jpg;4;0.940463;0.547264;0.7388060000000001;0.7499995;0.9567305
0_23-11-2021_02-38-40_PM.jpg;4;0.944364;0.06544549999999999;0.2041885;0.77064245;0.86238555
0_23-11-2021_02-38-46_PM.jpg;4;0.93596;0.0695875;0.2036085;0.7735847;0.8726413
0_23-11-2021_02-56-42_PM.jpg;4;0.929303;0.0677085;0.2057295;0.7688677;0.8679243
0_23-11-2021_04-41-35_PM.jpg;4;0.935777;0.7848105000000001;0.9050635;0.5437955;0.6496345
0_23-11-2021_05-55-18_PM.jpg;4;0.913098;0.38359800000000005;0.679894;0.94085975;0.98028625
0_23-11-2021_09-28-25_PM.jpg;4;0.936205;0.7801425;0.9007095;0.5792685000000001;0.7012195
0_24-11-2021_01-12-29_PM.jpg;4;0.951443;0.8019615;0.9156865000000001;0.617886;0.719512
0_24-11-2021_01-48-11_PM.jpg;4;0.926026;0.8031495;0.9173225;0.567164;0.66791
0_24-11-2021_01-49-25_PM.jpg;4;0.944161;0.08614184999999999;0.17790215;0.4140125;0.5796175
0_24-11-2021_02-41-59_PM.jpg;4;0.929672;0.31383;0.601064;0.5894739999999999;0.689474
0_24-11-2021_03-37-33_PM.jpg;4;0.945584;0.07631550000000001;0.2078945;0.541284;0.6834859999999999
0_24-11-2021_03-54-02_PM.jpg;4;0.939051;0.08045985;0.17049815000000001;0.391447;0.552631
0_24-11-2021_03-59-43_AM.jpg;4;0.866496;0.3310815;0.6081084999999999;0.7361113499999999;0.81944465
0_24-11-2021_04-01-33_AM.jpg;4;0.914786;0.2176875;0.47619049999999996;0.758333;0.833333
0_24-11-2021_04-11-58_PM.jpg;4;0.951494;0.8565893;0.9379846999999999;0.405594;0.555944
0_24-11-2021_04-13-05_PM.jpg;4;0.931272;0.18627500000000002;0.382353;0.9310346;0.9913794
0_24-11-2021_04-17-46_AM.jpg;4;0.943349;0.525424;0.7881360000000001;0.7376240000000001;0.861386
0_24-11-2021_04-37-41_AM.jpg;4;0.92855;0.0850785;0.2120415;0.82467505;0.89772695
0_24-11-2021_05-12-35_AM.jpg;4;0.948261;0.09352500000000001;0.215827;0.465854;0.646342
0_24-11-2021_05-13-22_AM.jpg;4;0.896477;0.026455099999999995;0.1481481;0.7610068;0.8207551999999999
